,before,after
113828,.,.
113829,PERHAPS,perhap
113830,IT,IT
113831,WAS,wa
113832,A,A
113833,'GHOST,'ghost
113834,','
113835,TARGET,target
113836,--,--
113837,I,I
113838,'LL,'ll
113839,NEVER,never
113840,KNOW,know
113841,FOR,for
113842,SURE,sure
113843,.,.
113844,AN,AN
113845,A319,a319
113846,CREW,crew
113847,IN,IN
113848,ZBW,zbw
113849,AIRSPACE,airspac
113850,BELIEVED,believ
113851,THEY,they
113852,WERE,were
113853,CLRED,clred
113854,TO,TO
113855,LEAVE,leav
113856,FL330,fl330
113857,FOR,for
113858,FL230,fl230
113859,AND,and
113860,CONFLICTED,conflict
113861,WITH,with
113862,AN,AN
113863,LJ35,lj35
113864,CLBING,clbing
113865,TO,TO
113866,FL310,fl310
113867,.,.
113868,ACR,acr
113869,X,X
113870,WAS,wa
113871,LEVEL,level
113872,AT,AT
113873,FL330,fl330
113874,.,.
113875,ACFT,acft
113876,Y,Y
113877,WAS,wa
113878,CLBING,clbing
113879,TO,TO
113880,FL310,fl310
113881,.,.
113882,ACR,acr
113883,X,X
113884,DSNDED,dsnded
113885,TO,TO
113886,FL230,fl230
113887,IN,IN
113888,ERROR,error
113889,;,;
113890,AND,and
113891,WAS,wa
113892,CLBED,clbed
113893,BACK,back
113894,TO,TO
113895,FL330,fl330
113896,.,.
113897,ACFT,acft
113898,Y,Y
113899,WAS,wa
113900,ISSUED,issu
113901,AN,AN
113902,EVASIVE,evas
113903,DSCNT,dscnt
113904,TO,TO
113905,FL290,fl290
113906,.,.
113907,DH8,dh8
113908,CREW,crew
113909,HAD,had
113910,SEVERE,sever
113911,WAKE,wake
113912,TURB,turb
113913,FROM,from
113914,B767,b767
113915,IN,IN
113916,FRONT,front
113917,OF,OF
113918,THEM,them
113919,IN,IN
113920,BOS,bo
113921,CLASS,class
113922,B,B
113923,.,.
113924,WE,WE
113925,WERE,were
113926,BEING,be
113927,VECTORED,vector
113928,FOR,for
113929,ILS,il
113930,RWY,rwi
113931,27,27
113932,BOSTON,boston
113933,.,.
113934,WE,WE
113935,WERE,were
113936,CLRED,clred
113937,THE,the
113938,ILS,il
113939,APCH,apch
113940,;,;
113941,MAINTAIN,maintain
113942,170,170
113943,KTS,kt
113944,UNTIL,until
113945,5,5
113946,DME,dme
113947,.,.
113948,THE,the
113949,CTLR,ctlr
113950,PUT,put
113951,A,A
113952,B767,b767
113953,ON,ON
113954,THE,the
113955,LOC,loc
113956,IN,IN
113957,FRONT,front
113958,OF,OF
113959,US,US
113960,(,(
113961,5,5
113962,MI,MI
113963,),)
113964,.,.
113965,HE,HE
113966,DROPPED,drop
113967,HIM,him
113968,IN,IN
113969,FROM,from
113970,ABOVE,abov
113971,US,US
113972,.,.
113973,WE,WE
113974,RAN,ran
113975,INTO,into
113976,HIS,hi
113977,WAKE,wake
113978,WHICH,which
113979,VIOLENTLY,violent
113980,ROLLED,roll
113981,OUR,our
113982,DASH,dash
113983,.,.
113984,I,I
113985,CLICKED,click
113986,OFF,off
113987,THE,the
113988,AUTOPLT,autoplt
113989,AND,and
113990,PULLED,pull
113991,UP,UP
113992,(,(
113993,CLBED,clbed
113994,TO,TO
113995,3200,3200
113996,FT,FT
113997,),)
113998,.,.
113999,THE,the
114000,CTLR,ctlr
114001,ASKED,ask
114002,US,US
114003,OUR,our
114004,SPD,spd
114005,.,.
114006,WE,WE
114007,TOLD,told
114008,HIM,him
114009,WE,WE
114010,SLOWED,slow
114011,IT,IT
114012,BACK,back
114013,TO,TO
114014,GET,get
114015,MORE,more
114016,SPACE,space
114017,BTWN,btwn
114018,US,US
114019,AND,and
114020,THE,the
114021,B767,b767
114022,AND,and
114023,THAT,that
114024,WE,WE
114025,JUST,just
114026,GOT,got
114027,HAMMERED,hammer
114028,WITH,with
114029,HIS,hi
114030,WAKE,wake
114031,.,.
114032,HE,HE
114033,SEEMED,seem
114034,MORE,more
114035,CONCERNED,concern
114036,WITH,with
114037,THE,the
114038,FACT,fact
114039,THAT,that
114040,WE,WE
114041,WERE,were
114042,GOING,go
114043,TO,TO
114044,BACK,back
114045,THINGS,thing
114046,UP,UP
114047,ON,ON
114048,FINAL,final
114049,.,.
114050,WE,WE
114051,APPEAR,appear
114052,TO,TO
114053,HAVE,have
114054,TRADED,trade
114055,DANGERS,danger
114056,.,.
114057,WE,WE
114058,TRADED,trade
114059,LAHSO,lahso
114060,FOR,for
114061,WAKE,wake
114062,TURB,turb
114063,.,.
114064,RWY,rwi
114065,22L,22l
114066,WAS,wa
114067,UNAVAILABLE,unavail
114068,THAT,that
114069,DAY,day
114070,.,.
114071,FO,FO
114072,OF,OF
114073,A,A
114074,LEARJET,learjet
114075,;,;
114076,LR60,lr60
114077,MADE,made
114078,MISSED,miss
114079,APCH,apch
114080,IN,IN
114081,RESPONSE,respons
114082,TO,TO
114083,A,A
114084,TCASII,tcasii
114085,TA,TA
114086,AND,and
114087,SUBSEQUENT,subsequ
114088,OBSERVATION,observ
114089,OF,OF
114090,A,A
114091,CESSNA,cessna
114092,PARALLEL,parallel
114093,TO,TO
114094,HIS,hi
114095,ILS,il
114096,APCH,apch
114097,COURSE,cours
114098,INSIDE,insid
114099,OF,OF
114100,THE,the
114101,FINAL,final
114102,APCH,apch
114103,FIX,fix
114104,.,.
114105,THE,the
114106,FLT,flt
114107,WAS,wa
114108,UNEVENTFUL,unev
114109,UNTIL,until
114110,ON,ON
114111,APCH,apch
114112,INTO,into
114113,MVY,mvi
114114,.,.
114115,APCHING,apch
114116,MVY,mvi
114117,THE,the
114118,WX,WX
114119,WAS,wa
114120,OBTAINED,obtain
114121,VIA,via
114122,ATIS,ati
114123,AND,and
114124,WAS,wa
114125,RPTED,rpted
114126,AS,AS
114127,CLR,clr
114128,SKIES,ski
114129,10,10
114130,MI,MI
114131,VISIBILITY,visibl
114132,WINDS,wind
114133,310,310
114134,DEGS,deg
114135,AT,AT
114136,4,4
114137,KTS,kt
114138,ALTIMETER,altimet
114139,29.99,29.99
114140,.,.
114141,UPON,upon
114142,REACHING,reach
114143,THE,the
114144,ARPT,arpt
114145,THE,the
114146,WX,WX
114147,HAD,had
114148,CHANGED,chang
114149,SIGNIFICANTLY,significantli
114150,TO,TO
114151,A,A
114152,700,700
114153,FT,FT
114154,OVCST,ovcst
114155,LAYER,layer
114156,.,.
114157,I,I
114158,DO,DO
114159,N'T,n't
114160,BELIEVE,believ
114161,THIS,thi
114162,IS,IS
114163,UNUSUAL,unusu
114164,FOR,for
114165,MVY,mvi
114166,.,.
114167,THE,the
114168,DECISION,decis
114169,TO,TO
114170,DO,DO
114171,THE,the
114172,ILS,il
114173,TO,TO
114174,RWY,rwi
114175,24,24
114176,WAS,wa
114177,AGREED,agre
114178,UPON,upon
114179,BY,BY
114180,BOTH,both
114181,THE,the
114182,CAPT,capt
114183,AND,and
114184,MYSELF,myself
114185,.,.
114186,THIS,thi
114187,APCH,apch
114188,SET,set
114189,UP,UP
114190,AND,and
114191,BRIEFED,brief
114192,WELL,well
114193,BEFORE,befor
114194,REACHING,reach
114195,THE,the
114196,ARPT,arpt
114197,.,.
114198,BEFORE,befor
114199,REACHING,reach
114200,THE,the
114201,CLASS,class
114202,C,C
114203,AIRSPACE,airspac
114204,OF,OF
114205,MVY,mvi
114206,IT,IT
114207,WAS,wa
114208,QUITE,quit
114209,OBVIOUS,obviou
114210,THAT,that
114211,MVY,mvi
114212,WAS,wa
114213,VERY,veri
114214,BUSY,busi
114215,JUST,just
114216,BY,BY
114217,THE,the
114218,AMOUNT,amount
114219,OF,OF
114220,RADIO,radio
114221,TFC,tfc
114222,ON,ON
114223,APCH,apch
114224,CTL,ctl
114225,(,(
114226,IT,IT
114227,WAS,wa
114228,JUL/SAT/00,jul/sat/00
114229,),)
114230,.,.
114231,WE,WE
114232,WERE,were
114233,VECTORED,vector
114234,TO,TO
114235,AND,and
114236,WERE,were
114237,CLRED,clred
114238,FOR,for
114239,THE,the
114240,ILS,il
114241,RWY,rwi
114242,24,24
114243,;,;
114244,WHICH,which
114245,WE,WE
114246,DID,did
114247,.,.
114248,JUST,just
114249,PRIOR,prior
114250,TO,TO
114251,AND,and
114252,BEFORE,befor
114253,REACHING,reach
114254,THE,the
114255,FINAL,final
114256,APCH,apch
114257,FIX,fix
114258,(,(
114259,FAF,faf
114260,),)
114261,WE,WE
114262,WERE,were
114263,HANDED,hand
114264,OFF,off
114265,TO,TO
114266,AND,and
114267,TOLD,told
114268,TO,TO
114269,CONTACT,contact
114270,MVY,mvi
114271,TWR,twr
114272,.,.
114273,BECAUSE,becaus
114274,OF,OF
114275,RADIO,radio
114276,TFC,tfc
114277,SATURATION,satur
114278,WE,WE
114279,WERE,were
114280,NOT,not
114281,ABLE,abl
114282,TO,TO
114283,IMMEDIATELY,immedi
114284,CONTACT,contact
114285,TWR,twr
114286,CTL,ctl
114287,AS,AS
114288,INSTRUCTED,instruct
114289,.,.
114290,JUST,just
114291,AFTER,after
114292,REACHING,reach
114293,THE,the
114294,FAF/GS,faf/g
114295,INTERCEPT,intercept
114296,AND,and
114297,WHILE,while
114298,DSNDING,dsnding
114299,ON,ON
114300,THE,the
114301,GS,GS
114302,WE,WE
114303,RECEIVED,receiv
114304,A,A
114305,TA,TA
114306,ALERT,alert
114307,ON,ON
114308,THE,the
114309,TCASII,tcasii
114310,.,.
114311,IN,IN
114312,THE,the
114313,INTEREST,interest
114314,OF,OF
114315,SAFETY,safeti
114316,I,I
114317,ARRESTED,arrest
114318,MY,MY
114319,DSCNT,dscnt
114320,ON,ON
114321,THE,the
114322,GS,GS
114323,.,.
114324,THE,the
114325,CAPT,capt
114326,ACQUIRED,acquir
114327,A,A
114328,HIGH,high
114329,WING,wing
114330,CESSNA,cessna
114331,IN,IN
114332,FRONT,front
114333,OF,OF
114334,AND,and
114335,BELOW,below
114336,US,US
114337,IN,IN
114338,THE,the
114339,ILS,il
114340,APCH,apch
114341,CORRIDOR,corridor
114342,.,.
114343,TO,TO
114344,CONTINUE,continu
114345,THE,the
114346,DSCNT,dscnt
114347,ON,ON
114348,THE,the
114349,GS,GS
114350,WOULD,would
114351,HAVE,have
114352,AT,AT
114353,THE,the
114354,VERY,veri
114355,LEAST,least
114356,RESULTED,result
114357,IN,IN
114358,A,A
114359,NEAR,near
114360,MISS,miss
114361,AND,and
114362,AT,AT
114363,THE,the
114364,VERY,veri
114365,WORST,worst
114366,A,A
114367,MIDAIR,midair
114368,COLLISION,collis
114369,.,.
114370,AS,AS
114371,PF,PF
114372,I,I
114373,ELECTED,elect
114374,TO,TO
114375,GO,GO
114376,MISSED,miss
114377,APCH,apch
114378,.,.
114379,IN,IN
114380,THE,the
114381,10-15,10-15
114382,SECONDS,second
114383,THAT,that
114384,HAD,had
114385,ELAPSED,elaps
114386,FROM,from
114387,OUR,our
114388,HDOF,hdof
114389,FROM,from
114390,APCH,apch
114391,TO,TO
114392,TWR,twr
114393,WE,WE
114394,WERE,were
114395,VERY,veri
114396,BUSY,busi
114397,BOTH,both
114398,FLYING,fli
114399,AND,and
114400,VISUALLY,visual
114401,ACQUIRING,acquir
114402,OUR,our
114403,TA,TA
114404,.,.
114405,AT,AT
114406,THE,the
114407,VERY,veri
114408,FIRST,first
114409,OPPORTUNITY,opportun
114410,TO,TO
114411,CONTACT,contact
114412,TWR,twr
114413,BECAUSE,becaus
114414,OF,OF
114415,RADIO,radio
114416,TFC,tfc
114417,SATURATION,satur
114418,WE,WE
114419,DID,did
114420,.,.
114421,BECAUSE,becaus
114422,I,I
114423,HAD,had
114424,ELECTED,elect
114425,TO,TO
114426,GO,GO
114427,MISSED,miss
114428,APCH,apch
114429,THE,the
114430,CAPT,capt
114431,CHKED,chked
114432,IN,IN
114433,WITH,with
114434,MVY,mvi
114435,TWR,twr
114436,;,;
114437,'LTT,'ltt
114438,WITH,with
114439,YOU,you
114440,ILS,il
114441,RWY,rwi
114442,24,24
114443,GOING,go
114444,MISSED,miss
114445,APCH,apch
114446,.,.
114447,','
114448,WE,WE
114449,PROCEEDED,proceed
114450,TO,TO
114451,THE,the
114452,MISSED,miss
114453,APCH,apch
114454,AND,and
114455,DID,did
114456,THE,the
114457,PUBLISHED,publish
114458,MISSED,miss
114459,APCH,apch
114460,.,.
114461,AT,AT
114462,NO,NO
114463,TIME,time
114464,PRIOR,prior
114465,TO,TO
114466,THIS,thi
114467,DID,did
114468,WE,WE
114469,CANCEL,cancel
114470,IFR,ifr
114471,NOR,nor
114472,ACCEPT,accept
114473,A,A
114474,VISUAL,visual
114475,APCH,apch
114476,.,.
114477,UPON,upon
114478,OUR,our
114479,CHK,chk
114480,IN,IN
114481,WITH,with
114482,TWR,twr
114483,THAT,that
114484,WE,WE
114485,WERE,were
114486,GOING,go
114487,MISSED,miss
114488,APCH,apch
114489,WE,WE
114490,WERE,were
114491,QUERIED,queri
114492,AS,AS
114493,TO,TO
114494,WHY,whi
114495,?,?
114496,THEY,they
114497,WERE,were
114498,INFORMED,inform
114499,THAT,that
114500,WE,WE
114501,HAD,had
114502,VISUALLY,visual
114503,ACQUIRED,acquir
114504,TFC,tfc
114505,IN,IN
114506,THE,the
114507,APCH,apch
114508,CORRIDOR,corridor
114509,AND,and
114510,IN,IN
114511,THE,the
114512,INTEREST,interest
114513,OF,OF
114514,SAFETY,safeti
114515,HAD,had
114516,ELECTED,elect
114517,TO,TO
114518,GO,GO
114519,MISSED,miss
114520,APCH,apch
114521,.,.
114522,WE,WE
114523,REQUESTED,request
114524,FURTHER,further
114525,INSTRUCTIONS,instruct
114526,AND,and
114527,RECEIVED,receiv
114528,VECTORS,vector
114529,BACK,back
114530,TO,TO
114531,THE,the
114532,ILS,il
114533,RWY,rwi
114534,24,24
114535,WHICH,which
114536,WE,WE
114537,DID,did
114538,AND,and
114539,LANDED,land
114540,AT,AT
114541,MVY,mvi
114542,.,.
114543,IN,IN
114544,CONCLUSION,conclus
114545,I,I
114546,CAN,can
114547,ONLY,onli
114548,ASSUME,assum
114549,THAT,that
114550,THE,the
114551,CESSNA,cessna
114552,THAT,that
114553,WAS,wa
114554,IN,IN
114555,OUR,our
114556,APCH,apch
114557,CORRIDOR,corridor
114558,WAS,wa
114559,ON,ON
114560,A,A
114561,SPECIAL,special
114562,VFR,vfr
114563,CLRNC,clrnc
114564,BECAUSE,becaus
114565,OF,OF
114566,THE,the
114567,700,700
114568,FT,FT
114569,CEILING,ceil
114570,.,.
114571,MY,MY
114572,DECISION,decis
114573,TO,TO
114574,GO,GO
114575,MISSED,miss
114576,APCH,apch
114577,WAS,wa
114578,APPROPRIATE,appropri
114579,AND,and
114580,IN,IN
114581,THE,the
114582,INTEREST,interest
114583,OF,OF
114584,SAFETY,safeti
114585,CALLED,call
114586,FOR,for
114587,.,.
114588,B733,b733
114589,FLC,flc
114590,INITIATES,initi
114591,EVASIVE,evas
114592,MANEUVER,maneuv
114593,REACTING,react
114594,TO,TO
114595,A,A
114596,TCASII,tcasii
114597,RA,RA
114598,AS,AS
114599,BTV,btv
114600,CTLR,ctlr
114601,INSISTS,insist
114602,THAT,that
114603,B733,b733
114604,FLC,flc
114605,DSND,dsnd
114606,AGAIN,again
114607,INTO,into
114608,CONFLICT,conflict
114609,WITH,with
114610,TCASII,tcasii
114611,RA,RA
114612,ACFT,acft
114613,.,.
114614,WE,WE
114615,WERE,were
114616,A,A
114617,REGULARLY,regularli
114618,SCHEDULED,schedul
114619,AIRLINE,airlin
114620,TRIP,trip
114621,FROM,from
114622,BURLINGTON,burlington
114623,;,;
114624,VT,VT
114625,;,;
114626,TO,TO
114627,CHICAGO,chicago
114628,;,;
114629,IL,IL
114630,(,(
114631,ORD,ord
114632,),)
114633,.,.
114634,ACFT,acft
114635,WAS,wa
114636,B737-300,b737-300
114637,WITH,with
114638,TCASII,tcasii
114639,AND,and
114640,FMS,fm
114641,.,.
114642,WX,WX
114643,WAS,wa
114644,VFR,vfr
114645,AT,AT
114646,ARPT,arpt
114647,WITH,with
114648,AN,AN
114649,OVCST,ovcst
114650,DECK,deck
114651,5000-8000,5000-8000
114652,FT,FT
114653,MSL,msl
114654,.,.
114655,TKOF,tkof
114656,CLRNC,clrnc
114657,WAS,wa
114658,RWY,rwi
114659,15,15
114660,INCLUDED,includ
114661,TURN,turn
114662,R,R
114663,TO,TO
114664,190,190
114665,DEG,deg
114666,HDG,hdg
114667,CLB,clb
114668,TO,TO
114669,10000,10000
114670,FT.,ft.
114671,AFTER,after
114672,TKOF,tkof
114673,DEP,dep
114674,CTL,ctl
114675,GAVE,gave
114676,US,US
114677,(,(
114678,X,X
114679,),)
114680,TURN,turn
114681,R,R
114682,DIRECT,direct
114683,WATERTOWN,watertown
114684,VOR,vor
114685,(,(
114686,ATR,atr
114687,),)
114688,.,.
114689,WHILE,while
114690,IMC,imc
114691,PASSING,pass
114692,8000,8000
114693,FT,FT
114694,BURLINGTON,burlington
114695,DEP,dep
114696,CTL,ctl
114697,TOLD,told
114698,US,US
114699,'DSND,'dsnd
114700,TO,TO
114701,7000,7000
114702,FT.,ft.
114703,','
114704,JUST,just
114705,THEN,then
114706,OUR,our
114707,TCASII,tcasii
114708,DISPLAYED,display
114709,ANOTHER,anoth
114710,ACFT,acft
114711,(,(
114712,Y,Y
114713,),)
114714,TO,TO
114715,OUR,our
114716,R,R
114717,BUT,but
114718,VERY,veri
114719,CLOSE,close
114720,(,(
114721,WITHIN,within
114722,4,4
114723,MI,MI
114724,),)
114725,.,.
114726,OUR,our
114727,RATE,rate
114728,OF,OF
114729,CLB,clb
114730,(,(
114731,2000,2000
114732,FPM,fpm
114733,),)
114734,TOOK,took
114735,US,US
114736,THROUGH,through
114737,8000,8000
114738,FT,FT
114739,TO,TO
114740,APPROX,approx
114741,8300,8300
114742,FT,FT
114743,.,.
114744,THE,the
114745,COPLT,coplt
114746,(,(
114747,PNF,pnf
114748,),)
114749,ACKNOWLEDGE,acknowledg
114750,THE,the
114751,DSCNT,dscnt
114752,INSTRUCTION,instruct
114753,BUT,but
114754,ASKED,ask
114755,IF,IF
114756,INSTRUCTIONS,instruct
114757,WERE,were
114758,STILL,still
114759,VALID,valid
114760,SINCE,sinc
114761,WE,WE
114762,WERE,were
114763,ABOVE,abov
114764,8000,8000
114765,FT.,ft.
114766,WE,WE
114767,THEN,then
114768,GOT,got
114769,A,A
114770,TCASII,tcasii
114771,PAINT,paint
114772,OF,OF
114773,INTRUDING,intrud
114774,ACFT,acft
114775,(,(
114776,Y,Y
114777,),)
114778,AND,and
114779,A,A
114780,TA,TA
114781,.,.
114782,AT,AT
114783,8200,8200
114784,FT,FT
114785,WE,WE
114786,BROKE,broke
114787,OUT,out
114788,ON,ON
114789,TOP,top
114790,OF,OF
114791,CLOUDS,cloud
114792,IN,IN
114793,VMC,vmc
114794,(,(
114795,VISIBILITY,visibl
114796,20,20
114797,MI,MI
114798,),)
114799,.,.
114800,WE,WE
114801,NEVER,never
114802,SAW,saw
114803,THE,the
114804,OTHER,other
114805,ACFT,acft
114806,.,.
114807,DEP,dep
114808,SAID,said
114809,YES,ye
114810,;,;
114811,THEY,they
114812,WANTED,want
114813,US,US
114814,BACK,back
114815,DOWN,down
114816,TO,TO
114817,7000,7000
114818,FT.,ft.
114819,WE,WE
114820,DSNDED,dsnded
114821,INTO,into
114822,CLOUDS,cloud
114823,TO,TO
114824,7000,7000
114825,FT,FT
114826,AFTER,after
114827,VERIFYING,verifi
114828,TCASII,tcasii
114829,DISPLAYED,display
114830,SEPARATION,separ
114831,INCREASING,increas
114832,.,.
114833,I,I
114834,(,(
114835,PF,PF
114836,),)
114837,OBTAINED,obtain
114838,A,A
114839,PHONE,phone
114840,NUMBER,number
114841,AND,and
114842,NAME,name
114843,TO,TO
114844,CONTACT,contact
114845,TO,TO
114846,DISCUSS,discuss
114847,EVENTS,event
114848,.,.
114849,AFTER,after
114850,LNDG,lndg
114851,CONTACT,contact
114852,WITH,with
114853,BURLINGTON,burlington
114854,DEP,dep
114855,CTL,ctl
114856,SUPVR,supvr
114857,VERIFIED,verifi
114858,EVENTS,event
114859,.,.
114860,HE,HE
114861,SAID,said
114862,THE,the
114863,CTLR,ctlr
114864,HAD,had
114865,BEEN,been
114866,FORTHCOMING,forthcom
114867,AND,and
114868,A,A
114869,REVIEW,review
114870,OF,OF
114871,THE,the
114872,TAPE,tape
114873,;,;
114874,SHOWED,show
114875,VERT,vert
114876,SEPARATION,separ
114877,OF,OF
114878,500,500
114879,FT,FT
114880,AND,and
114881,1.72,1.72
114882,MI,MI
114883,HORIZ,horiz
114884,.,.
114885,THE,the
114886,CTLR,ctlr
114887,WHO,who
114888,WORKED,work
114889,THE,the
114890,EVENT,event
114891,WAS,wa
114892,OFF,off
114893,THE,the
114894,SCOPE,scope
114895,AND,and
114896,THAT,that
114897,THIS,thi
114898,WAS,wa
114899,A,A
114900,'FLT,'flt
114901,EVENT,event
114902,.,.
114903,','
114904,PROB,prob
114905,:,:
114906,CTLR,ctlr
114907,LOST,lost
114908,TRACK,track
114909,OF,OF
114910,OTHER,other
114911,ACFT,acft
114912,.,.
114913,ALTIMETER,altimet
114914,ENCODING,encod
114915,CREATED,creat
114916,A,A
114917,LAG,lag
114918,ON,ON
114919,HIS,hi
114920,RADAR,radar
114921,.,.
114922,HE,HE
114923,NEGLECTED,neglect
114924,NOT,not
114925,HAVING,have
114926,KEPT,kept
114927,US,US
114928,ABOVE,abov
114929,8000,8000
114930,FT,FT
114931,.,.
114932,FLC,flc
114933,OF,OF
114934,AN,AN
114935,LTT,ltt
114936,WHILE,while
114937,DSNDING,dsnding
114938,WERE,were
114939,REQUESTED,request
114940,BY,BY
114941,APCH,apch
114942,CTL,ctl
114943,TO,TO
114944,HOLD,hold
114945,ALT,alt
114946,AND,and
114947,TURN,turn
114948,.,.
114949,RIGHT,right
114950,AFTER,after
114951,WHICH,which
114952,THEY,they
114953,TOOK,took
114954,EVASIVE,evas
114955,ACTION,action
114956,IN,IN
114957,RESPONSE,respons
114958,TO,TO
114959,A,A
114960,TCASII,tcasii
114961,RA,RA
114962,AND,and
114963,THEN,then
114964,SUBSEQUENTLY,subsequ
114965,A,A
114966,SECOND,second
114967,ACTION,action
114968,IN,IN
114969,RESPONSE,respons
114970,TO,TO
114971,A,A
114972,SECOND,second
114973,TCASII,tcasii
114974,RA,RA
114975,.,.
114976,WE,WE
114977,WERE,were
114978,IFR,ifr
114979,DSNDING,dsnding
114980,THROUGH,through
114981,4000,4000
114982,FT,FT
114983,TO,TO
114984,3000,3000
114985,FT,FT
114986,WHEN,when
114987,ATC,atc
114988,ADVISED,advis
114989,US,US
114990,THAT,that
114991,WE,WE
114992,HAD,had
114993,TFC,tfc
114994,(,(
114995,'POP-UP,'pop-up
114996,','
114997,),)
114998,CLBING,clbing
114999,OUT,out
115000,OF,OF
115001,3200,3200
115002,FT,FT
115003,AND,and
115004,TO,TO
115005,LEVEL,level
115006,AT,AT
115007,4000,4000
115008,FT.,ft.
115009,WE,WE
115010,CLBED,clbed
115011,BACK,back
115012,TO,TO
115013,4000,4000
115014,FT,FT
115015,AND,and
115016,LEVELED,level
115017,;,;
115018,AND,and
115019,WERE,were
115020,TOLD,told
115021,TO,TO
115022,MAKE,make
115023,A,A
115024,TURN,turn
115025,OF,OF
115026,50,50
115027,DEGS,deg
115028,TO,TO
115029,THE,the
115030,R,R
115031,TO,TO
115032,AVOID,avoid
115033,THE,the
115034,TFC,tfc
115035,.,.
115036,AS,AS
115037,WE,WE
115038,ENTERED,enter
115039,THE,the
115040,TURN,turn
115041,;,;
115042,WE,WE
115043,GOT,got
115044,AN,AN
115045,RA,RA
115046,ON,ON
115047,OUR,our
115048,TCASII,tcasii
115049,(,(
115050,'CLB,'clb
115051,','
115052,),)
115053,.,.
115054,I,I
115055,STARTED,start
115056,A,A
115057,CLBING,clbing
115058,TURN,turn
115059,AND,and
115060,FOLLOWED,follow
115061,THE,the
115062,TCASII,tcasii
115063,COMMANDS,command
115064,.,.
115065,(,(
115066,WE,WE
115067,NEVER,never
115068,GOT,got
115069,A,A
115070,TA,TA
115071,FIRST,first
115072,.,.
115073,),)
115074,WHEN,when
115075,WE,WE
115076,SHOWED,show
115077,THE,the
115078,TURN,turn
115079,RATE,rate
115080,AND,and
115081,CLB,clb
115082,(,(
115083,'MONITOR,'monitor
115084,VERT,vert
115085,SPD,spd
115086,','
115087,),)
115088,A,A
115089,SECOND,second
115090,RA,RA
115091,APPEARED,appear
115092,TO,TO
115093,OVERLAY,overlay
115094,AND,and
115095,OBSCURE,obscur
115096,THE,the
115097,FIRST,first
115098,RA,RA
115099,.,.
115100,WHEN,when
115101,WE,WE
115102,LOOKED,look
115103,OUT,out
115104,THE,the
115105,WINDSHIELD,windshield
115106,;,;
115107,I,I
115108,OBSERVED,observ
115109,THE,the
115110,FIRST,first
115111,RA,RA
115112,TFC,tfc
115113,APCHING,apch
115114,AT,AT
115115,ABOUT,about
115116,300,300
115117,FT,FT
115118,BELOW,below
115119,AND,and
115120,12,12
115121,O'CLOCK,o'clock
115122,POS,po
115123,.,.
115124,JUST,just
115125,AS,AS
115126,THE,the
115127,FIRST,first
115128,ACFT,acft
115129,STARTED,start
115130,TO,TO
115131,BECOME,becom
115132,OBSCURED,obscur
115133,BY,BY
115134,OUR,our
115135,ACFT,acft
115136,'S,'S
115137,NOSE,nose
115138,;,;
115139,I,I
115140,SPOTTED,spot
115141,A,A
115142,SECOND,second
115143,ACFT,acft
115144,AT,AT
115145,12:30,12:30
115146,O'CLOCK,o'clock
115147,POS,po
115148,AND,and
115149,APPEARED,appear
115150,TO,TO
115151,BE,BE
115152,SOMEWHAT,somewhat
115153,HIGHER,higher
115154,.,.
115155,(,(
115156,OUR,our
115157,ACFT,acft
115158,WAS,wa
115159,ROLLING,roll
115160,OUT,out
115161,OF,OF
115162,A,A
115163,TURN,turn
115164,AND,and
115165,THE,the
115166,HORIZON,horizon
115167,WAS,wa
115168,OBSCURED,obscur
115169,.,.
115170,ANY,ani
115171,BANK,bank
115172,ANGLE,angl
115173,WOULD,would
115174,DISTORT,distort
115175,THE,the
115176,ACTUAL,actual
115177,RELATIVE,rel
115178,POS,po
115179,.,.
115180,),)
115181,UNABLE,unabl
115182,TO,TO
115183,POSITIVELY,posit
115184,IDENT,ident
115185,RELATIVE,rel
115186,ALT,alt
115187,AND,and
115188,CLOSURE,closur
115189,RATE,rate
115190,;,;
115191,I,I
115192,MADE,made
115193,A,A
115194,SPLIT,split
115195,SECOND,second
115196,DECISION,decis
115197,TO,TO
115198,TURN,turn
115199,SHARPLY,sharpli
115200,BACK,back
115201,TO,TO
115202,THE,the
115203,L,L
115204,(,(
115205,IN,IN
115206,THE,the
115207,DIRECTION,direct
115208,OF,OF
115209,ORIGINAL,origin
115210,TRACK,track
115211,),)
115212,.,.
115213,I,I
115214,WAS,wa
115215,ALSO,also
115216,INFLUENCED,influenc
115217,BY,BY
115218,THE,the
115219,FACT,fact
115220,THAT,that
115221,THE,the
115222,FIRST,first
115223,ACFT,acft
115224,HAD,had
115225,JUST,just
115226,DISAPPEARED,disappear
115227,BELOW,below
115228,THE,the
115229,NOSE,nose
115230,OF,OF
115231,OUR,our
115232,ACFT,acft
115233,AND,and
115234,WAS,wa
115235,STILL,still
115236,AN,AN
115237,RA,RA
115238,TARGET,target
115239,ON,ON
115240,OUR,our
115241,TCASII,tcasii
115242,.,.
115243,(,(
115244,I,I
115245,WAS,wa
115246,UNABLE,unabl
115247,TO,TO
115248,DSND,dsnd
115249,),)
115250,.,.
115251,AS,AS
115252,THE,the
115253,SECOND,second
115254,ACFT,acft
115255,DISAPPEARED,disappear
115256,BELOW,below
115257,OUR,our
115258,ACFT,acft
115259,;,;
115260,WE,WE
115261,RECEIVED,receiv
115262,A,A
